id,title,description,group
3123,He Was Just the I.T. Guy. Then He Got Caught in the Trump Documents Case.,"Yuscil Taveras is among the little-known people with links to Donald Trump to have come under scrutiny. So far, he’s the only Trump employee known to have agreed to cooperate with prosecutors after facing charges.",12
3122,"‘I’m Being Indicted for You,’ Trump Tells South Dakota Rally","In his first rally since his fourth indictment, the former president focused on his Republican rivals and President Biden, as some in the crowd wore Mr. Trump’s mug shot on their T-shirts.",12
3886,California couple caught on video allegedly stealing $17K worth of merchandise from Target stores: police,"A couple was arrested after they were captured on security camera footage appearing to steal more than $17,000 worth of items from Target stores in Orange County, California.",62
3887,Oregon high school cancels classes after bomb threat on 9/11 anniversary,Law enforcement is working with a high school in Oregon after a bomb threat against the school appeared on social media. The school announced it would be taking precautions Monday.,101
3891,Private Jets and Pop-Up Workspaces: Boeing Eases Return to Office for Top Brass,"Company flight patterns suggest CEO Calhoun travels infrequently to headquarters from two distant homes, while CFO West occupies a new office five minutes from his Connecticut doorstep.",8
4031,Crisis averted...for now: Pilot reveals why planes barely avoiding tragedy as terrified passengers speak out,A commercial airline pilot revealed to Fox News Digital what&apos;s driving the uptick in close-call incidents at airports nationwide.,27
4032,"Georgia authorities arrest 5 adults, 1 teenager after body found in trunk of car outside spa","Five adults and one teen were arrested in Georgia after the body of a female from South Korea, who came to the Atlanta area to join &quot;Soldiers of Christ,&quot; was found in a car.",55
2735,Kim Jong-un and Putin Plan to Meet in Russia to Discuss Weapons,"Russia seeks more weaponry for its war in Ukraine, and a North Korean delegation recently traveled to Russia by train to plan for Mr. Kim’s visit this month, officials say.",122
2760,Sen. Sherrod Brown bets a progressive can still win in Trump-leaning Ohio,The long-time legislator has won with working-class voters for years; 2024 could determine whether the formula still works.,112
2778,"Connecticut tractor trailer carrying 8,000 gallons of gasoline crashes on Interstate 84","A trailer crash on Interstate 84 in Manchester, Connecticut, led to the road being shut down. The trailer burst into flames, as it was carrying 8,000 gallons of gasoline.",39
2780,California jewelry store owners fight back during attempted smash-and-grab by suspect in Trump mask,"A smash-and-grab thief in El Monte, California, was fought off by a family who owns a jewelry store during an attempted robbery",62
2782,Indianapolis police shoot burglary suspect who allegedly stabbed police dog,"Police in Indianapolis, Indiana shot a man after he allegedly stabbed a police dog. The dog suffered three stab wounds but is in stable condition.",47
2784,"Las Vegas begins to dry out after 2 days of heavy rainfall that flooded streets, prompted multiple rescues","The city of Las Vegas, Nevada is beginning to dry out after two days of heavy rainfall. The rainfall prompted multiple water rescues and flooded streets.",95
4033,Florida man already charged with murder indicted in killing of 74-year-old Lyft driver,A Florida man already facing murder charges in a separate killing has been indicted in the shooting death of a 74-year-old Lyft driver who was taking him from Lake Worth to Okeechobee.,21
2802,How Worried Should We Be About AI's Threat to Humanity? Even Tech Leaders Can't Agree.,Artificial-intelligence experts debate whether to focus on averting an AI apocalypse or on problems such as bias and disinformation.,106
2804,Inside a Sales Army Turning a Tax Break Into a Modern-Day Gold Rush,Thousands of individuals are referring neighbors and local businesses to a firm that has pursued billions in IRS refunds and created a bonanza for itself.,61
2806,Labor Could Be Detroit's Next Big Disruption,"A strike of vehicle-assembly workers looks increasingly likely, potentially emptying some dealer lots again after a period of improving supply.",85
4034,Brazilian prosecutor believed Danelo Cavalcante escaped Pennsylvania prison to face charge in 'lenient' Brazil,The Brazilian prosecutor over Danelo Calvacante&apos;s homicide case in Tocantins thought the convicted killer facing life in a U.S. prison was escaping to face a lighter sentence in Brazil.,65
4035,California judge rejects woman's claim she was following masters' orders in killing of Marine's wife,"A California judge on Tuesday rejected a woman&apos;s argument in her attempt to get a murder conviction overturned, claiming that her master directed her actions.",3
4036,Arizona snake removal company snares 20 rattlers in single home,An Arizona man called pest control to remove what he thought were only three rattlesnakes from his garage. It turned out there were much more.,110
4037,Florida registered sex offender posed as teenager's friend's father when he picked girl up and met her mother,"A 26-year-old registered sex offender in Florida was arrested after allegedly meeting a 14-year-old girl online, and later picking up and taking her back to his place.",5
4038,"United Airlines flight to Rome diverts back to Newark, drops 28,000 feet in 10 minutes",A United Airlines flight diverted to Newark Liberty International Airport during a flight on Wednesday because of a &quot;pressurization issue.&quot;,66
4039,Alex Jones criticized for spending $93K in July as Sandy Hook families owed $1.5B have yet to see a dime,"Infowars founder Alex Jones was ordered to last year to pay the families of Sandy Hook victims $1.5 billion, but in July, he spent $93,000 on personal expenses while families wait for payment.",37
4040,"Texas man pleads guilty to hate crimes against Muslims years after opening fire and killing 1, injuring 4","A Texas man who opened fire in an auto repair shop, targeting Muslim customers and employees, pleaded guilty to five hate crimes Thursday.",111
4041,California man's leisurely stroll into home to allegedly steal Hermes blankets worth $5K each caught on video,"An alleged thief in Southern California was caught on a home&apos;s security footage stealing two Hermes blankets worth $5,000 each, police said.",62
4042,Explosion at world's largest railyard prompts toxic smoke evacuations in Nebraska,An explosion inside a shipping container at Union Pacific&apos;s Bailey Yard prompted immediate evacuations due to the release of toxic smoke caused by a chemical fire.,67
3124,"In Post-Roe America, Nikki Haley Seeks a New Path on Abortion for G.O.P.","In crafting an anti-abortion message that doesn’t alienate moderate Republicans and swing voters, her approach has won both supporters and detractors.",34
2755,"Vivek Ramaswamy wasn’t in Model U.N., but he’s got that ‘power del’ vibe","As the GOP presidential candidates tussle, some former teenage diplomats see a familiar archetype: The guy who tosses bombs into foreign policy debates.",36
2777,"Chicago suspect accused of breaking into woman's home in the early morning hours, killing her: police","Chicago resident Marvin Wells is accused of breaking into a 53-year-old woman&apos;s home and killing her on Saturday, police say. He was also arrested for possessing a stolen car.",45
2779,"Body of missing Rehoboth Beach swimmer, 31, washes ashore in Delaware: report","A massive search for Richard A. Boateng, 31, ended Monday morning after his body was found washed ashore north of Rehoboth Beach, Delaware, a report said.",115
2781,Department of Homeland Security looks to renew program to keep dangerous chemicals out of extremists' hands,The U.S. Department of Homeland Security is looking to renew a program that is meant to keep dangerous chemicals out of the hands of extremists.,41
2783,"5 charged in AL brawl that drew national attention in fight between White boaters, Black riverboat crewmembers",Four white boaters fought Black riverboat crew members in a video that drew national attention. Alabama police have since charged five people in connection with the brawl.,46
2785,Convicted sexual predator sues mustard company for misleading 'custumers' with packet packaging,"Convicted sexual predator David Lettieri, 36, is seeking damages of $450,000 from the manufacturers of a particular condiment, per a civil suit filed from an Ohio prison last week.",14
2805,"J&J's $40 Billion Split-Off Sets Stage for Pharma, Medical Tech Expansion ﻿",The healthcare giant’s separation of its consumer-health business arms it with billions in cash for allocating capital in the remaining businesses.,106
2807,"'Barbie,' 'Oppenheimer' Trounce Franchise Films to Jolt a Slow Summer at the Box Office","This summer, many franchise movies underperformed expectations. Films based on original story lines dominated.",8
2803,Who Should Eat the Cost of Pricier Delivery Menus?,Persuading establishments to rethink higher delivery prices is proving challenging for the food-delivery app.,54
3125,"Seeking Link to Trump, Prosecutors Questioned Proud Boys Leader","Enrique Tarrio said in an interview that prosecutors believed he had communicated with President Donald Trump through intermediaries before the Jan. 6, 2021, attack on the Capitol.",72
2956,Why Republicans Could Impeach a Liberal Judge Before She’s Heard a Case,Republicans in Wisconsin have floated impeaching a newly seated liberal State Supreme Court justice who is threatening conservatives’ grip on state politics.,19
2958,Ex-Leader of Proud Boys Sentenced to 22 Years in Jan. 6 Sedition Case,"The prison term for Enrique Tarrio was the most severe penalty handed down so far to any of the more than 1,100 people charged in connection with the Capitol attack.",72
2959,"Mike Rogers, Former G.O.P. Representative, Will Run for Senate in Michigan","Mr. Rogers, who once led the House Intelligence Committee, is the most prominent Republican so far in the race to replace Senator Debbie Stabenow, a Democrat who is retiring.",40
2960,Huawei Phone Is Latest Shot Fired in the U.S.-China Tech War,The release of a homegrown Chinese smartphone during a visit by the Biden official in charge of regulating such technology shows the U.S.-China tech conflict is alive and well.,106
2962,"With Aid on the Line, Biden Officials Debate ‘Coup’ Finding for Niger",American officials have tap danced around a word that would prompt a cutoff of U.S. assistance to a valued African ally.,53
2963,How to Interpret Polling Showing Biden’s Loss of Nonwhite Support,"Yes, there’s reason for skepticism, but also reason for concern for Democrats, particularly over turnout.",15
2957,"As Abortion Laws Drive Obstetricians From Red States, Maternity Care Suffers",Some doctors who handle high-risk pregnancies are fleeing restrictive abortion laws. Idaho has been particularly hard hit.,74
2964,Gabriel Amo Wins Rhode Island’s Democratic House Primary,"Gabriel Amo, a moderate Democrat who served in the Obama and Biden administrations, won a special House primary to succeed Representative David N. Cicilline in the deep-blue state.",86
3916,New Mexico’s dicey gun restriction draws detractors even from the left,New Mexico Gov. Michelle Lujan Grisham (D) sought to temporarily ban carrying firearms in part of her state. And Republicans aren’t the only ones crying foul.,7
568,House Republicans Begin Investigating Willis as Trump Is Booked,"The launch of an inquiry into Fani Willis, the Fulton County, Ga., district attorney, was the latest example of how the former president’s allies in Congress are using their majority to try to protect him.",6
3918,Google trial set to begin in first major tech antitrust case in decades,Not since the U.S. government tried to break up Microsoft in 2000 has the federal government taken on a major tech giant over its business practice.,106
3919,House lawmakers return to looming budget and impeachment decisions,Funding the government will mark the greatest hurdle to date for the fragile House Republican majority and Kevin McCarthy’s chances of keeping his speaker’s gavel.,26
3920,Cassidy Hutchinson’s book joins many by Trump insiders. Here’s what sells. ,"John Bolton and James Comey top the list, while three lesser-known aides sold fewer than 10,000 copies.",49
3921,Trump demands recusal by Judge Chutkan in D.C. Jan. 6 trial,Attorneys for Donald Trump said U.S. District Judge Tanya S. Chutkan’s statements at trials of Jan. 6 riot defendants show she is biased against Trump.,12
3923,"Biden marks 9/11 attacks by denouncing division, urging unity","President references his relationship with Sen. John McCain, whose memorial in Hanoi he visited earlier",44
3915,How Americans feel about Kamala Harris becoming president,They’re less persuaded than they were regarding our last two VPs — and than they were regarding Harris herself in 2020.,98
3925,The media-elite narrative about Hunter Biden sits on the right,There is an effort to police a frame around the president’s son. The effort is on the right.,10
3926,Senators push for unredacted 9/11 documents on Saudi Arabia,"The Senate intelligence subcommittee is asking the Justice Department and FBI to provide “complete, unredacted records” this week about Saudi Arabia’s role in the 9/11 attacks.",71
1355,Wisconsin deer farm infected with fatal brain disease,"A 150-acre deer farm in Washburn County, Wisconsin, is under quarantine after officials confirmed a doe was infected with chronic wasting disease.",91
3927,Musk refused to allow Ukraine’s military to use Starlink to attack Russian fleet ,New details of the previously reported incident underscore how dependent the U.S. government has become on a company that once had to fight in court to become part of the Washington establishment.,87
3929,Robert F. Kennedy Jr.’s very bad argument for relevancy,"He claimed to be polling better than Ron DeSantis, which he isn’t and which isn’t comparable in the least.",48
3935,"Montana Navy veteran had jaw torn off in horrifying grizzly attack, family says","A Navy veteran who was attacked by a grizzly bear in Montana had his jaw torn off and is in critical, but stable condition, his family shared in a GoFundMe post.",96
3936,Train derails at Lincoln Tunnel in Manhattan,"Rail service into and out of Penn Station New York was suspended Tuesday morning after minor train derailment near the entrance to the Lincoln Tunnel, authorities said",58
3937,94-year-old woman travels across US to see 90-year-old sister one last time,"94-year-old Barbara Carolon traveled rom New Hampshire to Nevada to see her 90-year-old sister Shirley one more time, with video of the visist going viral.",18
3938,Grand Canyon hiker dies while attempting rim-to-rim trek in single day,"Ranjith Varma, 55, of Manassas, Virginia, became unresponsive and later died while trying to hike rim to rim at the Grand Canyon on Saturday afternoon.",119
3939,"Prized parkland becomes homeless encampment, Dem loses faith in 'right-to-shelter' and more top headlines","City&apos;s prized parkland becomes encampment, mayor seeks shift in &apos;right-to-shelter-law&apos; and more top headlines",75
2966,Gloria Johnson Announces Bid for Marsha Blackburn’s Senate Seat,"Gloria Johnson, who barely avoided expulsion for her role in a gun control rally in the State Legislature, is hoping to unseat Senator Marsha Blackburn, a Republican.",40
3940,Legal gun owners take to the streets in protest of NM governor's public health order,"More than 100 protesters gathered in Old Town Albuquerque, New Mexico, on Sunday to rally against Democratic Gov. Michelle Lujan Grisham&apos;s temporary gun suspension.",7
3941,Tennessee businessman suspected of recording sexual assaults of more than 50 women says he's innocent,"Sean Williams, a felon and former fugitive, spoke with Fox News Digital in an effort to maintain his innocence after a federal lawsuit accused him of being a &quot;serial rapist.&quot;",14
3942,Pennsylvania police provide new info amid manhunt for fugitive Danelo Cavalcante: 'He is armed',"Pennsylvania police said Tuesday that fugitive Danelo Cavalcante is armed, as law enforcement continues its pursuit nearly two weeks after his escape from prison.",65
3943,Tech company boasts its AI can predict crime with social media policing while fighting Meta in court,"The NYPD is using controversial artificial intelligence that claims it can predict crime, but the tech company behind the tech, Voyager Labs, is in a heated privacy lawsuit with Meta.",106
3944,"Florida Airbnb rental hosting birthday party leaves 1 dead, 1 injured after shooting","A shooting at a Florida Airbnb rental killed one person and injured a woman over the weekend, authorities said.",32
3945,Photos show mangled metal mess after freight train crashes into ATV,"A Missouri freight train crashed into an ATV stuck on the tracks on Monday morning, causing the front train engine to sustain some damage, and the ATV to get demolished.",58
3946,Police arrest suspect who allegedly lunged at officer with razor blade,"Ocean City, Maryland resident Matthew Slentz was charged with aggravated menacing and weapons offenses after allegedly lunged at a Delaware state trooper with a razor blade.",5
2967,Mark Gonzalez Seeks to Challenge Senator Ted Cruz in Texas,"Mark Gonzalez, facing a conservative effort to remove him from the district attorney’s office in Nueces County, Texas, resigned and announced his campaign for the Senate.",40
2968,Ad Wars in 3 Governor’s Races Leave Out Trump and Biden,"Offering a look at both parties’ political strategies this year, the ads focus largely on issues like education, the economy, jobs and taxes, as well as local scandals and crime.",56
3947,Large San Francisco sinkhole forms at intersection after water main break,"A sinkhole opened up on a San Francisco street on Monday following a water main break, authorities said.",93
4043,"Tent collapse in suburban Chicago injures 26 people, 5 seriously","A tent collapse in suburban Chicago has resulted in injuries to at least 26 individuals, with five of them sustaining serious injuries, according to Bedford Park Police Chief Tom Hansen.",45
4044,Indiana man faces felony charges after 2-year-old shoots him with found handgun,"A 2-year-old boy accidentally shot a 32-year-old man from Fort Wayne, Indiana, resulting in the adult being charged with neglect of a dependent and unlawful possession of a handgun.",21
4045,Iowa police officer fatally shot during arrest attempt; suspect apprehended in Minnesota,"An incident unfolded in Algona, Iowa, as Police Officer Kevin Cram was fatally shot while attempting to arrest 43-year-old suspect Kyle Ricke.",8
4046,Southern California neighborhood evacuated for hours due to large natural gas leak,Residents of an unincorporated neighborhood in Southern California endured a more than six-hour evacuation due to a significant natural gas leak stemming from an underground pipeline.,62
4047,"UAW Strikes at Plants Owned by GM, Ford, Stellantis","The walkouts are the first to hit all three automakers at the same time and affect factories in Missouri, Ohio and Michigan.",85
4048,Instacart Set to Raise IPO Price Target After Successful Arm Debut,"At the high end of the new range, the grocery-delivery company would be valued at nearly $10 billion on a fully diluted basis.",28
4049,Apple Counts on Wireless Carriers to Avoid an iPhone Slump,"AT&amp;T, Verizon and T-Mobile are returning to deep discounts on phones for customers who commit to top-tier plans.",28
4050,"Saudi Arabia Once Banned Videogames. Now, It Wants to Export Them.",The kingdom is pouring $40 billion into a bid to be a world leader in the industry.,4
4051,America's Battle With Shoplifting Is Getting Dangerous for Workers,Several retailers have reported an increase in organized theft rings and violent incidents that are making it hard to stop thieves while keeping workers safe.,68
3948,Videos show prized Austin greenbelt destroyed by homeless encampment,"Austin, Texas, activist Jamie Hammonds on Monday posted a series of shocking videos on Twitter showing the extent of damage a greenbelt has endured from a homeless encampment.",75
3949,"Oregon man confesses to 'brutal, ice-blooded' cold case murder, rape in Boston: DA","Nearly 44 years after the murder and rape of a woman in Boston, Massachusetts, an Oregon man confessed to FBI agents that he committed the crime.",21
3950,"Man walks into FBI office, confesses to 1979 murder in Boston's Back Bay neighborhood","A 68-year-old man, John Michael Irmer, walked into an FBI field office in Oregon and confessed to a decades-old murder in Boston&apos;s Back Bay neighborhood.",21
3951,Louisiana soldier charged with shooting at woman and her young children during road rage incident,A U.S. Army soldier is charged with shooting at a woman and her two children during a road rage incident.,9
3952,Michigan Catholic group wins legal battle to display religious Stations of the Cross,A federal appeals court has granted a Catholic group the right to display religious depictions along a privately owned &apos;prayer trail&apos; representing the final day of Jesus&apos; life.,59
3953,WWII soldier from Rhode Island identified using DNA evidence,"A U.S. Army soldier from Rhode Island who died during World War II in Germany has been positively identified using DNA evidence, according to the U.S. Department of Defense.",86
4052,Rising Rates Make Big Companies Even Richer,"The Fed raised interest rates to slow the economy—but at some big companies, the moves had the opposite effect, boosting profits and spending power.",28
4053,J.B. Hunt Transport Will Acquire BNSF Brokerage Business,The sale comes as the freight operator and the railroad are stepping up their commercial relationship.,83
4054,Atlanta News Outlet Aims for Half a Million Digital Subscribers in Under Four Years,"Andrew Morse, the new president and publisher of the Atlanta Journal-Constitution, looks to turn it into the Southeast’s primary news source.",29
4055,Inside Exxon's Strategy to Downplay Climate Change,Internal documents show what the oil giant said publicly was very different from how it approached the issue privately in the Tillerson era.,4
3954,Former Louisiana police officer to stand trial in fatal high-speed chase that killed teens,A trial date has been scheduled for a former Louisiana police officer who is facing charges in connection with a tragic incident that occurred on New Year&apos;s Eve in Brusly.,8
2969,Capitol Physician Says McConnell Did Not Have a Stroke or Seizure,"With the Senate returning from its long summer recess, the minority leader circulated a note from the congressional doctor saying an examination and tests showed no signs of a stroke or seizure.",69
3955,Federal funding extended to 25 additional Georgia counties for Hurricane Idalia cleanup,"An additional 25 counties in Georgia have become eligible for federal funding to aid in Hurricane Idalia cleanup efforts, according to state officials.",60
3956,"Virginia police crack cold case, arrest New York suspect for 1994 murder","Stephen Smerk, 51, was charged with second-degree murder after reportedly confessed to the 1994 murder of Robin Lawrence in Springfield, according to Fairfax County police.",21
3957,Georgia cold case investigation into missing woman leads to 3 arrests,Three people have been arrested and charged in connection with the disappearance of Matilde Gonzalez in Georgia.,21
3958,Body of 9-year-old recovered after jet ski collision with barge in Tennessee,"Search and rescue teams successfully recovered the body of a 9-year-old boy after his father, driving a jet ski, collided with a barge on a Tennessee waterway over the weekend.",115
3959,Arizona teen bravely shoots home intruder during Phoenix break-in: Police,"Home invasion suspect Juan Saavedra was shot by a teenage boy on Friday night after allegedly forcing himself into his residence and breaking a window, police say.",45
3960,A Mall Owner's About-Face: Bet on America's High-End Malls,Unibail-Rodamco-Westfield will hold some of its top-performing malls but still plans a “radical reduction” of its U.S. exposure.,82
3961,"For Auto Workers, It Isn't Just About Pay","The UAW is pressing for more work-life balance during contract talks, while the automakers want better attendance and increased use of temporary workers.",85
3962,Google's Antitrust Trial Gets Under Way in Washington,The government says the search giant maintains dominance through illegal deals with phone and browser companies.,110
2970,"Wrestling With Inequality, Some Conservatives Redraw Economic Blueprint","A growing number of Republican politicians and theorists are challenging party orthodoxy on pocketbook issues, corporate power and government’s role.",100
3963,Elon Musk's Five Commandments for Business,"In his new book, biographer Walter Isaacson explores the billionaire’s leadership style and “demon mode.”",113
4099,"Woman dies after falling from US-Mexico border wall, officials say",An immigration volunteer organizer says a 30-foot tall border fence has not deterred people from trying to cross into the U.S. after a woman fell to her death Friday.,41
4100,Former police officers sentenced for stealing thousands of dollars from drivers during traffic stops,"Former East Cleveland, Ohio, police officers Willie Sims and Alfonzo Cole were both handed prison sentences after stealing from six during traffic stops.",8
4101,"Bryan Kohberger's 'unprecedented' pretrial privileges include vegan food, new suits, computer: victim's dad","Idaho student murders suspect Bryan Kohberger may be getting special treatment, according to the father of Kaylee Goncalves, who says he&apos;s been denied public records.",76
4102,Half-mouthed alligator finds new home at Gatorland,An alligator missing half of its jaw was captured in Florida after weeks of searching. Rescuers are now asking for name suggestions for the reptile housed at Gatorland.,120
4103,"Florida youth pastor, soccer coach separately accused of sex crimes involving minors",Florida deputies arrested a youth pastor and a softball coach for sex crimes involving minors. The sheriff said they took advantage of a parent&apos;s trust to prey on children.,5
4104,National police shortage is causing small town police departments across the US to close,The National police shortage is growing and small town police departments across the US say they don&apos;t have the money to keep their offices open.,46
4105,Dallas school district partnering with sex education group promoting gender transition teachings,The Dallas Independent School District is partnering with a sex education group that advocates for teaching students about and gender transitions.,101
4106,Crime-ridden blue city now hiring more police. Why they can’t get them on the streets fast enough,"The Portland Police Bureau is seeing a surge of applicants, but a backlog at the state&apos;s only training academy is keeping officers from hitting the streets.",58
4107,"Illinois man sentenced 35 years for beating, sexually assaulting brother's girlfriend, setting house on fire","An Illinois man was sentenced to 35 years in prison for the 2017 bludgeoning of his brother&apos;s girlfriend, sexually assaulting her and setting her home on fire.",108
3964,"WWE, UFC Combined Company Makes Market Debut, Targets Demand for Sports","TKO plans to pursue future acquisitions of sports-focused companies, the president of the new company says.",28
4108,"New York City daycare children possibly consume fentanyl, 1 dead, 3 hospitalized: Report",One child is dead and three others have been hospitalized after possibly consuming fentanyl at a Bronx day care center on Friday afternoon.,43
3965,U.S. v. Google: What to Know About the Biggest Antitrust Trial in 20 Years,The search engine faces charges of using illegal agreements with phone and browser companies to maintain a monopoly.,110
4109,Massachusetts' junkyard blaze leaves one hospitalized in two-alarm fire,Officials say a two-alarm fire at a used car lot in Massachusetts severely burned one person and sent large plumes of smoke into the sky.,67
4110,Son of Mexican drug cartel kingpin 'El Chapo' extradited to United States,"Ovidio Guzman Lopez, the son of Mexican drug cartel leader, Joaquin &apos;El Chapo&apos; Guzman Loera, was extradited from Mexico to the United States of Friday.",30
4111,California bill's passage requires foster parents to 'demonstrate' support of a child's LGBTQ expression,A foster care bill in California passed Friday to require prospective foster parents to demonstrate their &quot;ability and willingness&quot; to support their child&apos;s sexual orientation.,62
4112,"As Los Angeles County zero bail rules go into effect, prosecutor calls it 'invitation' to commit more crimes",New Los Angeles County zero bail rules go into effect in October but critics warn it could lead to more crime.,77
4113,Hiker on trail near Colorado Springs trampled by a moose,"A Colorado hiker was injured on Tuesday when he was &quot;trampled&quot; by a moose who was being &quot;protective&quot; of its calf, according to officials.",123
4114,"Florida women drunkenly tossed baby in air 'like a toy' at bar, charged with child abuse, police say","Two Florida woman allegedly threw a baby in the air while drunk at a bar and the child was injured, authorities said.",5
4115,Missouri police officers sent on wild chase after resident's illegal pet escapes,Body camera video shared by the Springfield Police Department in Missouri show officers chasing after an escaped pet lemur on Tuesday night.,8
4116,NYC shooting kills 71-year-old woman who is latest innocent victim of city gun violence in recent days,"A 71-year-old woman was shot and killed in New York City on Thursday, while another person was injured in the latest instance of innocent victims caught in the crossfire of gun violence on city streets.",9
4117,"Washington state floatplane crash on lake leaves 1 dead, another person severely injured",One person is dead and another is critically injured after a floatplane crash on Lake Sammamish in Washington state Friday morning.,67
4118,Prospective student files lawsuit alleging sexual assault at Virginia Military Institute's open house event,A lawsuit has been filed by a prospective Virginia Military Institute student who alleges that she was sexually assaulted by a cadet in 2021.,14
4119,North Carolina city denies permit for Christmas parade following death of 11-year-old girl last year,"Raleigh has denied a Christmas parade permit following an incident last year where an 11-year-old girl, Hailey Brooks, was fatally struck by a pickup truck towing a float.",108
4120,South Carolina dentist fatally shot by law enforcement outside strip club,"A South Carolina dentist was fatally shot by law enforcement in the early hours of Friday morning outside a strip club, as reported by a local coroner.",102
4121,Michigan agrees to pay $1M to wrongfully convicted man after nearly 2 decades in prison,Michigan agreed to pay $1.03 million in compensation to a man who spent nearly two decades in prison for the deaths of two hunters before his convictions were overturned in February.,20
4122,Murdaugh's lawyers screwed up motion for new trial: prosecutors,"South Carolina prosecutors have accused Alex Murdaugh&apos;s lawyers of messing up their motion for a new trial, which is based on allegations that the court clerk tampered with jurors.",99
4123,Michigan jury acquits 3 men in plot to kidnap Gov. Gretchen Whitmer,A Michigan jury acquitted three men who were allegedly part of a plot to kidnap Gov. Gretchen Whitmer.,20
4124,"Whatever the UAW Strike Outcome, Elon Musk Has Already Won",The Detroit automakers entered labor talks at a cost disadvantage to Tesla.,85
4125,Why the Twinkie Is Now Worth Billions,The strategy changes and shifts in snacking habits that brought Hostess from bankruptcy (twice) to a $4.6 billion deal.,42
4126,The Executive Trying to Make Microsoft Smarter About AI,Chief Technology Officer Kevin Scott spearheaded the tech titan’s unlikely partnership with OpenAI.,106
4127,More New York Flight Cuts Expected Amid Air-Controller Shortages,"Delays and cancellations could increase without flying reductions, the FAA said.",54
